Species,Latitude,Longitude
pc1_background_rep_1,20.3042038913223,-74.6622571157207
pc1_background_rep_1,22.8625372246557,-82.970590449054
pc1_background_rep_1,21.3375372246557,-76.995590449054
pc1_background_rep_1,22.7792038913223,-81.2122571157207
pc1_background_rep_1,21.9042038913223,-82.945590449054
pc1_background_rep_1,21.2625372246557,-77.245590449054
pc1_background_rep_1,22.8542038913223,-80.8039237823874
pc1_background_rep_1,22.070870557989,-79.1372571157207
pc1_background_rep_1,20.245870557989,-74.7122571157207
pc1_background_rep_1,22.6125372246557,-79.6872571157207
pc1_background_rep_2,21.845870557989,-80.0622571157207
pc1_background_rep_2,20.3625372246557,-74.9039237823874
pc1_background_rep_2,22.5375372246557,-83.0789237823873
pc1_background_rep_2,23.0375372246557,-80.9789237823874
pc1_background_rep_2,22.695870557989,-83.4539237823873
pc1_background_rep_2,21.770870557989,-78.2872571157207
pc1_background_rep_2,22.245870557989,-80.470590449054
pc1_background_rep_2,20.9042038913223,-76.7622571157207
pc1_background_rep_2,20.6125372246557,-75.845590449054
pc1_background_rep_2,21.9625372246557,-79.420590449054
pc1_background_rep_3,22.2042038913223,-81.570590449054
pc1_background_rep_3,22.7625372246557,-80.4539237823874
pc1_background_rep_3,21.8125372246557,-79.2372571157207
pc1_background_rep_3,21.820870557989,-78.7039237823874
pc1_background_rep_3,20.4042038913223,-76.695590449054
pc1_background_rep_3,20.8625372246557,-77.1289237823874
pc1_background_rep_3,22.320870557989,-79.320590449054
pc1_background_rep_3,20.7292038913223,-77.8872571157207
pc1_background_rep_3,22.4542038913223,-79.5372571157207
pc1_background_rep_3,20.8792038913223,-77.645590449054
pc1_background_rep_4,22.770870557989,-81.0039237823874
pc1_background_rep_4,21.6375372246557,-77.3872571157207
pc1_background_rep_4,20.7125372246557,-77.7372571157207
pc1_background_rep_4,21.695870557989,-77.8122571157207
pc1_background_rep_4,22.320870557989,-80.2622571157207
pc1_background_rep_4,21.3542038913223,-78.445590449054
pc1_background_rep_4,21.4042038913223,-76.8789237823874
pc1_background_rep_4,21.070870557989,-77.5122571157207
pc1_background_rep_4,20.2375372246557,-75.5872571157207
pc1_background_rep_4,22.295870557989,-78.8039237823874
pc1_background_rep_5,22.745870557989,-80.420590449054
pc1_background_rep_5,20.4625372246557,-75.3039237823874
pc1_background_rep_5,23.1292038913223,-81.7622571157207
pc1_background_rep_5,20.1792038913223,-75.6455904490541
pc1_background_rep_5,20.070870557989,-75.1622571157207
pc1_background_rep_5,22.7042038913223,-79.9289237823874
pc1_background_rep_5,21.045870557989,-78.3289237823874
pc1_background_rep_5,22.5875372246557,-81.1622571157207
pc1_background_rep_5,22.070870557989,-80.2872571157207
pc1_background_rep_5,20.3625372246557,-76.7622571157207
pc1_background_rep_6,22.3292038913223,-80.020590449054
pc1_background_rep_6,22.795870557989,-82.9872571157207
pc1_background_rep_6,22.6042038913223,-83.3539237823874
pc1_background_rep_6,21.4625372246557,-78.270590449054
pc1_background_rep_6,20.2542038913223,-74.9622571157207
pc1_background_rep_6,22.820870557989,-81.0539237823874
pc1_background_rep_6,22.7625372246557,-80.8122571157207
pc1_background_rep_6,22.3125372246557,-84.0539237823873
pc1_background_rep_6,21.3125372246557,-77.820590449054
pc1_background_rep_6,20.145870557989,-74.7705904490541
pc1_background_rep_7,22.795870557989,-83.1539237823874
pc1_background_rep_7,20.0792038913223,-75.5372571157207
pc1_background_rep_7,23.0125372246557,-82.0872571157207
pc1_background_rep_7,22.2375372246557,-78.8122571157207
pc1_background_rep_7,22.195870557989,-84.195590449054
pc1_background_rep_7,21.3125372246557,-77.6539237823874
pc1_background_rep_7,22.320870557989,-78.1789237823874
pc1_background_rep_7,20.070870557989,-76.395590449054
pc1_background_rep_7,21.9542038913223,-79.345590449054
pc1_background_rep_7,22.4792038913223,-83.2872571157207
pc1_background_rep_8,22.570870557989,-84.0622571157207
pc1_background_rep_8,22.620870557989,-83.670590449054
pc1_background_rep_8,20.9875372246557,-76.970590449054
pc1_background_rep_8,20.4042038913223,-75.7372571157207
pc1_background_rep_8,21.0042038913223,-76.3372571157207
pc1_background_rep_8,22.7125372246557,-82.3372571157207
pc1_background_rep_8,22.8375372246557,-81.6622571157207
pc1_background_rep_8,21.6375372246557,-78.0372571157207
pc1_background_rep_8,21.2375372246557,-77.7289237823874
pc1_background_rep_8,21.4375372246557,-77.9539237823874
pc1_background_rep_9,21.070870557989,-75.8622571157207
pc1_background_rep_9,22.8375372246557,-80.5372571157207
pc1_background_rep_9,21.0875372246557,-76.645590449054
pc1_background_rep_9,20.0625372246557,-74.9539237823874
pc1_background_rep_9,21.0875372246557,-77.320590449054
pc1_background_rep_9,21.670870557989,-78.8039237823874
pc1_background_rep_9,21.820870557989,-79.595590449054
pc1_background_rep_9,22.4792038913223,-81.5122571157207
pc1_background_rep_9,20.070870557989,-77.1372571157207
pc1_background_rep_9,20.6375372246557,-75.4539237823874
pc1_background_rep_10,22.945870557989,-80.5039237823874
pc1_background_rep_10,22.6042038913223,-80.2872571157207
pc1_background_rep_10,21.695870557989,-79.6122571157207
pc1_background_rep_10,20.595870557989,-75.3205904490541
pc1_background_rep_10,22.4375372246557,-83.770590449054
pc1_background_rep_10,20.7875372246557,-76.3622571157207
pc1_background_rep_10,22.1625372246557,-81.0872571157207
pc1_background_rep_10,22.1792038913223,-84.2789237823874
pc1_background_rep_10,21.4375372246557,-77.2622571157207
pc1_background_rep_10,22.9125372246557,-83.295590449054
